EOI #,Adults,Dependents,Total Inhabitants,Gross Income,Net Income,Property Price,HO Deposit,HO Mortgage,HO Share,QLCHT Share,Location,Settled,Monthly living allowance,Rates & Maintenance,Household Expenses,Vehicle running costs,Utilities,Insurances,Child Care,HP or Student Loan,Credit Card Repayments,Estimated HH expensnes,,,,,,,,
142,2,0,2,71280,54507,440000,60000,240000,300000,140000,Q,Y,600,200,700,320,380,85,0,85,60,2430,,,,,,,,
74,2,2,4,37100,29865,325000,70000,125000,195000,130000,W,Y,400,200,620,400,100,100,0,0,0,1820,,,,,,,,
93,2,1,3,86840,63426,540000,95000,300000,395000,145000,Q,Y,500,200,450,190,310,145,0,0,0,1795,,,,,,,,
85,1,0,1,45000,35280,300000,55000,149808,204000,95192,Q,N,520,125,460,57,95,65,0,0,0,1322,,,,,,,,""
133,2,1,3,68454,51754,381000,75000,199000,274000,107000,W,Y,500,200,600,400,250,93,50,0,0,2093,,,,,,,,
129,2,2,4,74480,58471,515000,105000,255921,360500,154079,Q,Y,500,200,1000,320,260,118,150,60,0,2608,,,,,,,,
150,2,0,2,73400,55649,385000,13000,244184,257950,127816,W,Y,500,200,500,300,200,76,0,400,0,2176,,,,,,,,
102,2,2,4,58000,45340,520000,205000,183138,390000,131862,Q,Y,300,250,600,450,260,50,50,0,0,1960,,,,,,,,
97,2,1,3,80000,62455,500000,75000,274707,350000,150293,Q,Y,500,200,550,320,300,50,270,0,0,2190,,,,,,,,
169,2,1,3,68200,53281,422000,85000,223060,308060,113940,Q,Y,600,200,400,350,200,70,0,0,0,1820,,,,,,,,
57,2,1,3,80000,62780,530000,75000,290700,365700,164300,Q,Y,1000,250,400,250,250,100,0,0,0,2250,,,,,,,,
12,2,0,2,87000,68550,527500,95000,300625,395625,131875,Q,Y,600,250,600,300,240,200,0,0,0,2190,,,,,,,,
8,2,2,4,92126,70433,522500,5000,324175,329175,193325,Q,Y,400,250,1000,150,340,150,0,0,0,2290,,,,,,,,
69,2,2,4,58400,45885,390000,75000,198000,273000,117000,W,Y,500,250,600,100,130,150,0,0,0,1730,,,,,,,,
14,2,2,4,84000,59970,500000,45000,280000,325000,175000,Q,Y,550,250,600,300,345,200,250,0,0,2495,,,,,,,,
42,1,0,1,72000,52955,375000,38000,269500,307500,67500,Q,N,400,150,500,300,200,50,0,0,0,1600,,,,,,,,
90,2,2,4,79500,59175,425000,36000,244500,280500,144500,Q,N,400,200,800,210,220,100,0,0,0,1930,,,,,,,,
86,2,0,2,63400,51037,400000,47000,213000,260000,140000,Q,Y,300,150,600,250,300,65,120,0,0,1785,,,,,,,,
110,2,0,2,90123,70567,510000,80000,317800,397800,112200,Q,N,1000,200,600,150,200,100,0,450,0,2700,,,,,,,,
95,2,2,4,77400,55944,450000,45000,261000,306000,156400,Q,Y,500,200,800,100,468,100,0,0,0,2168,,,,,,,,
101,2,2,4,88700,69689,515000,75000,316400,391400,123600,Q,N,1000,200,530,0,190,60,220,95,0,2295,,,,,,,,
114,1,1,2,40000,31930,320000,115000,109000,224000,96000,Q,Y,450,150,500,120,150,100,0,0,0,1470,,,,,,,,
87,2,2,4,57000,43995,515000,175000,200950,375950,139050,Q,N,500,200,800,110,330,50,0,0,0,1990,,,,,,,,
145,2,0,2,85000,60580,430000,20000,281000,301000,129000,Q,N,400,200,450,120,190,100,0,514,0,1974,,,,,,,,
