OBJECTID,AU2013_V1_00,AU2013_V1_00_NAME,AREA_SQ_KM,LAND_AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE
1,500100,Awanui,0.98846576,0.98846576,1623384.177,6121908.088,-35.04525659,173.2564013
2,500202,Karikari Peninsula-Maungataniwha,791.1884845,784.3951998,1640233.098,6120812.028,-35.0546088,173.4411945
3,500203,Taipa Bay-Mangonui,5.54505444,5.54505444,1645670.712,6127651.72,-34.99270338,173.5004453
4,500204,Herekino,396.5113438,391.0672729,1619530.192,6104425.35,-35.20298375,173.2145566
5,500205,Ahipara,8.0001036,8.0001036,1613560.407,6107735.74,-35.17323198,173.148919
6,500206,North Cape,690.2372224,626.0358439,1589933.961,6176738.136,-34.55103504,172.8902852
7,500207,Houhora,212.7047316,199.042026,1606754.909,6149919.662,-34.79290901,173.0738395
8,500208,Motutangi-Kareponia,296.6170316,296.6170316,1618412.554,6130183.813,-34.97073423,173.2017058
9,500301,Kaitaia West,4.54693818,4.54693818,1623492.947,6114385.074,-35.11309082,173.2578072
10,500302,Kaitaia East,3.93127821,3.93127821,1624314.287,6115414.621,-35.10378771,173.2667901
11,500401,Kaeo,21.24234764,21.24234764,1671457.464,6115147.419,-35.10395524,173.7840658
12,500402,Mangapa-Matauri Bay,627.8760995,627.8760995,1668413.518,6115632.399,-35.09979381,173.7506287
13,500500,Kohukohu,4.26652184,4.26652184,1648661.773,6086568.253,-35.36300456,173.5356437
14,500600,Rawene,2.14775204,2.14775204,1646228.752,6081929.671,-35.40494413,173.509126
15,500700,Omapere and Opononi,1.18071382,1.18071382,1635386.656,6069110.468,-35.52097326,173.3902807
16,500801,Hokianga North,827.1401559,816.0085948,1640677.076,6092722.555,-35.30787088,173.447449
17,500802,Hokianga South,778.2777514,778.2777514,1651336.633,6071540.787,-35.4983635,173.5660333
18,500900,Kerikeri,34.71367632,34.71367632,1686571.461,6101522.629,-35.22560984,173.9513149
19,501000,Russell,4.38580602,4.38580602,1702573.695,6097647.706,-35.25903408,174.1276156
20,501100,Paihia,4.63816088,4.63816088,1699099.362,6094091.958,-35.29144044,174.0898571
21,501200,Haruru Falls,1.52772047,1.52772047,1695892.104,6095438.281,-35.27961534,174.0544329
22,501300,Opua East,0.75755837,0.75755837,1701401.975,6091530.982,-35.31429753,174.115493
23,501400,Kawakawa,2.26198153,2.26198153,1696971.217,6083946.977,-35.38310979,174.0676587
24,501500,Moerewa,8.53458275,8.53458275,1691934.413,6083361.962,-35.38886126,174.012277
25,501612,Opua West,1.97396452,1.97396452,1700483.494,6091747.37,-35.31243951,174.1053642
26,501613,Bay of Islands,254.5658319,0,1705521.514,6103477.453,-35.20617119,174.1592678
27,502102,Kamo East,2.23698691,2.23698691,1718251.671,6050688.168,-35.68061757,174.3067616
28,502201,Tikipunga West,3.39347928,3.39347928,1719680.869,6050547.582,-35.68171237,174.3225723
29,502202,Tikipunga East,2.42229129,2.42229129,1720566.103,6049054.353,-35.69506443,174.3325764
30,502300,Whau Valley,1.30233901,1.30233901,1718431.079,6048837.044,-35.69728216,174.3090163
31,502400,Otangarei,1.08247693,1.08247693,1719246.626,6049230.727,-35.69363514,174.31797
32,502500,Western Hills,1.41427586,1.41427586,1718368.594,6047012.507,-35.7137361,174.3085946
33,502600,Kensington,0.95059153,0.95059153,1718954.716,6047707.324,-35.7074024,174.3149699
34,502700,Mairtown,0.96929275,0.96929275,1719802.163,6047892.416,-35.70563127,174.3243081
35,502800,Regent,1.13420305,1.13420305,1719575.664,6046767.272,-35.71580081,174.3219724
36,502900,Woodhill,1.08330065,1.08330065,1718103.559,6045099.974,-35.73100752,174.3059466
37,503000,Vinetown,0.76127094,0.76127094,1718769.308,6045787.447,-35.72473053,174.3132048
38,503100,Whangarei Central,1.61821463,1.61821463,1719923.626,6045313.828,-35.72885976,174.3260355
39,503200,Riverside,1.04455568,1.04455568,1720299.392,6046088.604,-35.72183013,174.3300734
40,503300,Horahora,2.20672609,2.20672609,1716744.554,6044748.38,-35.73433895,174.2909738
41,503400,Maunu,1.6828361,1.6828361,1716304.352,6043806.661,-35.74287979,174.2862437
42,503500,Raumanga East,0.94068114,0.94068114,1718367.093,6043895.76,-35.74183062,174.3090377
43,503600,Morningside,1.63398257,1.63398257,1719466.094,6044576.015,-35.735566,174.3210875
44,503700,Parahaki,2.61644659,2.61644659,1721453.283,6045422.245,-35.72769494,174.3429289
45,503800,Raumanga West,3.5071854,3.5071854,1717550.832,6042817.273,-35.75164997,174.3001708
46,503900,Port-Limeburners,7.36652306,7.36652306,1720332.453,6043045.407,-35.74925717,174.3308953
47,504000,Sherwood Rise,2.87918567,2.87918567,1723669.232,6042832.498,-35.75076237,174.3678241
48,504100,Onerahi,2.20367805,2.20367805,1723233.317,6041103.586,-35.76640106,174.3632698
49,504300,Hikurangi,5.38478707,5.38478707,1716752.914,6059911.434,-35.59765585,174.2888672
50,504400,Te Kopuru,2.63084471,2.63084471,1682770.67,6012452.693,-36.02892775,173.9186952
51,504501,Kaipara Coastal,1221.250999,1221.250999,1673618.252,6022206.85,-35.94172876,173.8162136
52,504502,Maungaru,716.1405319,716.1405319,1687079.774,6029652.235,-35.87350253,173.9646304
53,505910,Gulf Harbour,3.84616926,3.84616926,1760159.038,5945899.911,-36.61898631,174.7910416
54,505911,Gulf Harbour Marina,0.2464546,0,1759935.979,5945607.272,-36.62166062,174.7886092
55,506001,Weiti River,2.24199834,2.24199834,1750670.443,5946082.838,-36.61888548,174.6849386
56,506002,Stillwater,0.43757247,0.43757247,1753420.851,5943895.726,-36.63815458,174.7161209
57,506003,Silverdale South,29.68726421,26.84792335,1751924.382,5942765.672,-36.64857741,174.6996123
58,506201,Silverdale North,28.97801602,28.97801602,1748513.489,5949481.805,-36.58859519,174.6601701
59,506202,Orewa West,4.84767409,4.84767409,1749960.929,5950875.467,-36.5758102,174.6760726
60,506300,Dairy Flat-Redvale,27.44217867,27.44217867,1749650.125,5939054.418,-36.68238007,174.6749043
61,506400,Paremoremo West,8.37643027,8.37643027,1744420.675,5930939.903,-36.7563108,174.6179303
