au_id_2013,au_name_2013,separate_house 2001,separate_house_2006,separate house 2013
600600,Weston,255,279,300
600811,Pukeuri,69,72,81
600812,Ardgowan,156,177,234
600813,Cape Wanbrow,75,96,99
600826,Maheno,1224,1332,1407
600828,Kakanui,153,174,177
600840,Hampden,120,135,135
601010,Oamaru North,1041,1128,1179
601020,Orana Park,867,921,858
601030,Oamaru Central,900,972,936
601040,Oamaru South,1047,1125,1161
601200,Palmerston,294,315,321
601301,Waihemo,231,252,261
601302,Hyde,24,27,27
601400,Waikouaiti,414,453,492
601500,Aramoana,102,102,111
601602,Waitati,165,189,195
601603,Evansdale,363,435,516
601604,Karitane,156,150,174
601605,Warrington,156,165,186
601700,Nenthorn,30,36,36
601900,Fairfield,663,774,828
602000,Brighton,504,549,537
602100,Waldronville,186,195,189
602200,Outram,201,231,258
602300,Middlemarch,60,54,63
602411,Wyllies Crossing,87,90,108
602412,Wingatui,297,342,495
602421,Kaikorai Hill,135,162,177
602422,Saddle Hill,159,216,297
602500,Taieri,759,888,1017
602600,Strath Taieri,144,150,150
602800,Harbourside,0,0,0
602900,Fernhill,198,198,183
603000,High St-Stuart St,393,396,384
603100,Stuart St-Frederick St,273,255,258
603210,Opoho,435,429,426
603220,Forrester Park,291,300,297
603300,North East Valley,1182,1215,1167
603400,Pine Hill,765,807,804
603500,Woodhaugh,210,210,216
603601,North Dunedin,300,345,339
603602,Otago University,432,408,381
603710,Maori Hill,630,639,633
603720,Balmacewen,234,240,252
603810,Glenleith,207,231,234
603820,Helensburgh,330,360,369
603910,Wakari,1026,1059,1059
603920,Halfway Bush,633,651,660
603930,Brockville,1017,1077,1068
604010,Roslyn North,501,513,495
604020,Roslyn South,735,771,762
604110,Mornington,1101,1128,1113
604120,Belleknowes,546,561,552
604130,Kenmure,636,666,651
604210,Caversham,1551,1584,1536
604221,Corstorphine West,156,180,183
604222,Corstorphine East,288,300,294
604300,Caledonian,..C,..C,..C
604410,South Dunedin,648,687,675
604420,Forbury,291,321,327
604500,St Clair,1203,1257,1323
604611,Musselburgh,873,897,897
604612,Andersons Bay,834,861,858
604620,Vauxhall,1326,1374,1428
604710,St Leonards-Blanket Bay,261,276,285
604720,Ravensbourne,444,483,477
604810,Inner Peninsula,297,330,348
604821,Company Bay,78,102,120
604822,Macandrew Bay,417,426,438
604830,Broad Bay-Portobello,387,426,453
604901,Taiaroa-Cape Saunders,183,207,207
604902,Sandymount,60,66,66
605100,Sawyers Bay,438,450,450
605200,Port Chalmers,462,483,486
605400,St Kilda West,582,606,594
605500,St Kilda Central,474,534,519
605600,St Kilda East,681,717,702
605800,Green Island,810,864,888
605910,Abbotsford,594,603,630
605920,Concord,672,696,696
606100,Mosgiel East,1032,1143,1197
606210,Mosgiel South,759,813,843
606220,East Taieri,420,468,522
606300,Bush Road,777,831,897
606500,Benhar,42,39,42
606600,Stirling,102,114,114
606700,Bruce,843,933,1008
606800,Milton,657,663,699
606900,Kaitangata,279,306,294
607000,Clinton,105,105,108
607100,Kaka Point,93,93,99
607200,Owaka,120,126,120
607300,Clutha,1020,1110,1128
607400,Balclutha,1344,1401,1419
607501,Teviot,366,408,393
607502,Tuapeka,579,624,585
607600,Tapanui,282,291,303
607700,Lawrence,159,180,168
607800,Roxburgh,228,228,210
607900,Ranfurly,258,288,282
608000,Maniototo,342,372,372
608100,Naseby,39,57,57
608302,Dunstan,1002,1317,1644
608303,Clyde,303,357,423
608304,Hawea,357,567,786
608305,Inland Water-Lake Hawea,..C,..C,..C
608500,Alexandra,1440,1662,1764
608600,Cromwell,885,1212,1455
608700,Frankton,318,375,384
608800,Wanaka,1050,1725,2262
609013,Glenorchy,78,99,120
609014,Kingston South,48,81,105
609022,Kelvin Heights,264,330,348
609023,Sunshine Bay,288,348,336
609027,Inland Water-Lake Wakatipu,..C,..C,..C
609028,Lake Hayes,57,87,105
609029,Matukituki,87,132,141
609030,Inland Water-Lake Wanaka,..C,..C,..C
609031,Outer Wakatipu,144,156,225
609032,Wakatipu Basin,261,318,381
609033,Frankton East,39,111,186
609034,Lake Hayes South,18,171,420
609035,Jacks Point,15,66,99
609200,Arrowtown,504,732,813
609302,Queenstown Hill,405,504,516
609303,Arthurs Point,78,129,243
609304,Queenstown Bay,252,237,267
625800,Inlet-Otago Harbour,..C,0,..C
625901,Inlet-Dunedin City Bays,..C,0,..C
625902,Oceanic-Otago Region,..C,..C,..C
626000,Inlet-Port Oamaru,..C,..C,..C
