Meshblock (2013 areas),Area unit code (2013 areas),Area unit description,Ward code (2013 areas),Ward description,Territorial authority code (2013 areas),Territorial authority area description,Regional council code (2013 areas),Regional council area description
MB 2308203,580900,Lake Tennyson,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2310701,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2310702,585601,Parnassus,5803,Cheviot Ward,58,Hurunui District,13,Canterbury Region
MB 2310800,585601,Parnassus,5803,Cheviot Ward,58,Hurunui District,13,Canterbury Region
MB 2310900,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2311000,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2311100,585506,Amuri,5802,Amuri-Hurunui Ward,58,Hurunui District,13,Canterbury Region
MB 2311200,585506,Amuri,5802,Amuri-Hurunui Ward,58,Hurunui District,13,Canterbury Region
MB 2311300,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2311400,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2311501,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2311502,585506,Amuri,5802,Amuri-Hurunui Ward,58,Hurunui District,13,Canterbury Region
MB 2311600,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2311700,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2311801,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2311802,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2311900,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2312000,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2312100,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2312200,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2312300,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2312400,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2312500,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2312600,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2312700,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2312801,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2312802,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2312900,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2313000,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2313100,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2313200,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2313300,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2313400,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2313500,581400,Kaikoura Township,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2313600,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2313700,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2313800,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2313900,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2314000,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2314100,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2314200,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2314300,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2314400,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2314500,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2314600,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2314700,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2314800,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2314900,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2315000,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2315100,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2315200,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2315300,581500,Kaikoura Rural,5499,Area Outside Ward,54,Kaikoura District,13,Canterbury Region
MB 2332907,623806,Oceanic-Canterbury Region North,99999,Area Outside Ward,999,Area Outside Territorial Authority,13,Canterbury Region
MB 2332908,623806,Oceanic-Canterbury Region North,99999,Area Outside Ward,999,Area Outside Territorial Authority,13,Canterbury Region
MB 2426501,585506,Amuri,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2426502,580900,Lake Tennyson,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2426601,585506,Amuri,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2426602,580900,Lake Tennyson,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2426700,585506,Amuri,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2426801,585506,Amuri,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2426802,580900,Lake Tennyson,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2426900,585506,Amuri,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2427002,585502,Hanmer Springs,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2427003,585502,Hanmer Springs,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2427004,585502,Hanmer Springs,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2427005,585506,Amuri,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2427006,585502,Hanmer Springs,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2427007,585502,Hanmer Springs,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2427008,585506,Amuri,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2427101,585502,Hanmer Springs,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2427102,585502,Hanmer Springs,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
MB 2427201,585502,Hanmer Springs,5801,Hanmer Springs Ward,58,Hurunui District,13,Canterbury Region
