"","ID","PropertyDetails.PropertyAddress","PropertyDetails.PostalAddressForThisAssessment"
"1",305592,"18 Weka Street St Leonards","18 Weka Street Saint Leonards Dunedin 9022"
"2",305593,"24 Weka Street St Leonards","C/O Perpetual Guardian Private Bag 1965 Dunedin 9054"
"3",305594,"1 Wren Lane St Leonards","1 Wren Lane Saint Leonards Dunedin 9022"
"4",305595,"3 Wren Lane St Leonards","3 Wren Lane Saint Leonards Dunedin 9022"
"5",305596,"78 St Leonards Drive St Leonards","PO Box 2456 South Dunedin Dunedin 9044"
"6",305597,"76 St Leonards Drive St Leonards","76 St Leonards Drive Saint Leonards Dunedin 9022"
"7",305598,"74 St Leonards Drive St Leonards","74 St Leonards Drive Saint Leonards Dunedin 9022"
"8",305599,"73 St Leonards Drive St Leonards","B C and S T Whipp Family Trust 5 Kaka Road Saint Leonards Dunedin 9022"
"9",305600,"72 St Leonards Drive St Leonards","72 St Leonards Drive Saint Leonards Dunedin 9022"
"10",305601,"4 Weka Street St Leonards","4 Weka Street Saint Leonards Dunedin 9022"
"11",305602,"6 Weka Street St Leonards","6 Weka Street Saint Leonards Dunedin 9022"
"12",305603,"8 Weka Street St Leonards",NA
"13",305605,"12 Weka Street St Leonards","Bradfield Wickens Family Trusat 12 Weka Street St Leonards Dunedin 9022"
"14",305606,"14 Weka Street St Leonards","14 Weka Street Saint Leonards Dunedin 9022"
"15",305607,"16 Weka Street St Leonards","16 Weka Street Saint Leonards Dunedin 9022"
"16",305608,"15 Wren Lane St Leonards","15 Wren Lane Saint Leonards Dunedin 9022"
"17",305609,"21 Wren Lane St Leonards","16 Weka Street Saint Leonards Dunedin 9022"
"18",305610,"11 Wren Lane St Leonards","11 Wren Lane Saint Leonards Dunedin 9022"
"19",305611,"9 Wren Lane St Leonards","16 Rue Colbert La Trompette La Rochelle FRANCE 17000"
"20",305613,"5 Weka Street St Leonards","5 Weka Street Saint Leonards Dunedin 9022"
"21",305614,"7 Weka Street St Leonards",NA
"22",305615,"9 Weka Street St Leonards","9 Weka Street Saint Leonards Dunedin 9022"
"23",305616,"11 Weka Street St Leonards","11 Weka Street Saint Leonards Dunedin 9022"
"24",305617,"69 St Leonards Drive St Leonards","PO Box 5045 Moray Place Dunedin 9058"
"25",305618,"62 St Leonards Drive St Leonards","62 St Leonards Drive Saint Leonards Dunedin 9022"
"26",305619,"61 St Leonards Drive St Leonards","61 St Leonards Drive Saint Leonards Dunedin 9022"
"27",305620,"4 Tui Street St Leonards","4 Tui Street Saint Leonards Dunedin 9022"
"28",305621,"60 St Leonards Drive St Leonards","60 St Leonards Drive Saint Leonards Dunedin 9022"
"29",305622,"22 Takahe Terrace St Leonards","4 Tui Street Saint Leonards Dunedin 9022"
"30",305623,"24 Takahe Terrace St Leonards","24 Takahe Terrace Saint Leonards Dunedin 9022"
"31",305624,"6 Tui Street St Leonards","Private Bag 1965 Dunedin 9054"
"32",305625,"8 Tui Street St Leonards","PO Box 15225 Miramar Wellington 6243"
"33",305626,"10 Tui Street St Leonards","32 Island Terrace Port Chalmers 9023"
"34",305627,"12A Tui Street St Leonards","11 Cambridge Road Hardwick Cambridge CB3 7QQ UNITED KINGDOM"
"35",305628,"14 Tui Street St Leonards","Parker Family and W and R Clarke Trusts 14 Tui Street Saint Leonards Dunedin 9022"
"36",305629,"16 Tui Street St Leonards","16 Tui Street Saint Leonards Dunedin 9022"
"37",305630,"18 Tui Street St Leonards","18 Tui Street Saint Leonards Dunedin 9022"
"38",305631,"22 Tui Street St Leonards","McLean Family Trust 22 Tui Street Saint Leonards Dunedin 9022"
"39",305632,"26 Tui Street St Leonards","26 Tui Street Saint Leonards Dunedin 9022"
"40",305633,"18 Ruru Avenue St Leonards",NA
