"","ID","PropertyDetails.PropertyAddress","PropertyDetails.PostalAddressForThisAssessment"
"1",317000,"18 Haywood Street Dunedin","18 Haywood Street Dunedin 9011"
"2",317001,"49A Patrick Street Dunedin","49A Patrick Street Dunedin 9011"
"3",317002,"51 Patrick Street Dunedin","51 Patrick Street Dunedin 9011"
"4",317003,"55 Patrick Street Dunedin","28 Union Street Milton 9220"
"5",317004,"53 Patrick Street Dunedin","53 Patrick Street Dunedin 9011"
"6",317005,"49 Patrick Street Dunedin",NA
"7",317006,"45 Patrick Street Dunedin","45 Patrick Street Dunedin 9011"
"8",317007,"43 Patrick Street Dunedin","43 Patrick Street Dunedin 9011"
"9",317008,"39 Patrick Street Dunedin","39 Patrick Street Dunedin 9011"
"10",317009,"37A Patrick Street Dunedin","37A Patrick Street Dunedin 9011"
"11",317010,"37B Patrick Street Dunedin","37B Patrick Street Dunedin 9011"
"12",317011,"33 Patrick Street Dunedin","33 Patrick Street Dunedin 9011"
"13",317012,"31 Patrick Street Dunedin",NA
"14",317013,"29 Patrick Street Dunedin","29 Patrick Street Dunedin 9011"
"15",317014,"27 Patrick Street Dunedin","49 Palliser Road Roseneath Wellington 6011"
"16",317015,"23 Patrick Street Dunedin","23 Patrick Street Dunedin 9011"
"17",317016,"21A Patrick Street Dunedin","21A Patrick Street Dunedin 9011"
"18",317017,"21 Patrick Street Dunedin","21 Patrick Street Dunedin 9011"
"19",317018,"19 Patrick Street Dunedin","Jenco Trust 19 Patrick Street Dunedin 9011"
"20",317019,"17 Patrick Street Dunedin","C/O Click Property Management 15 Nairn Street Dunedin 9010"
"21",317020,"15 Patrick Street Dunedin","15 Patrick Street Dunedin 9011"
"22",317021,"11 Patrick Street Dunedin","11 Patrick Street Dunedin 9011"
"23",317022,"9 Patrick Street Dunedin","Christie Investment Trust PO Box 74224 Greenlane Auckland 1546"
"24",317023,"7 Patrick Street Dunedin","7 Patrick Street Dunedin 9011"
"25",317024,"21 Neidpath Road Dunedin","21 Neidpath Road Dunedin 9011"
"26",317025,"19 Neidpath Road Dunedin","19 Neidpath Road Dunedin 9011"
"27",317026,"17 Neidpath Road Dunedin",NA
"28",317027,"15 Neidpath Road Dunedin","62 Brockville Road Dunedin 9011"
"29",317028,"13 Neidpath Road Dunedin","102 Kenmure Road Dunedin 9011"
"30",317029,"11 Neidpath Road Dunedin","2210 Gibbston Highway RD 1 Queenstown 9371"
"31",317030,"9 Neidpath Road Dunedin","239 Malvern Street Dunedin 9010"
"32",317031,"10 Cochrane Street Dunedin","PO Box 84 Mosgiel 9053"
"33",317032,"12 Cochrane Street Dunedin","14 Unity Road RD 1 Henderson 0781"
"34",317033,"14 Cochrane Street Dunedin","127 Tahuna Road Dunedin 9013"
"35",317034,"16 Cochrane Street Dunedin","16 Cochrane Street Dunedin 9011"
"36",317035,"18 Cochrane Street Dunedin","22 Taunton Place Rangiora 7400"
"37",317036,"20 Cochrane Street Dunedin","20 Cochrane Street Dunedin 9011"
"38",317037,"22 Cochrane Street Dunedin","22 Cochrane Street Dunedin 9011"
"39",317038,"24 Cochrane Street Dunedin","6 Hocken Street Dunedin 9011"
"40",317039,"21 Cochrane Street Dunedin","21 Cochrane Street Dunedin 9011"
"41",317040,"23 Cochrane Street Dunedin","1274 Dunback-Morrisons Road RD 3 Palmerston 9483"
"42",317041,"25 Cochrane Street Dunedin","25 Cochrane Street Dunedin 9011"
"43",317042,"19 Cochrane Street Dunedin","Stewart Family Property Trust 19 Cochrane Street Dunedin 9011"
"44",317043,"17 Cochrane Street Dunedin",NA
"45",317044,"15 Cochrane Street Dunedin","15 Cochrane Street Dunedin 9011"
"46",317045,"11 Cochrane Street Dunedin","11 Cochrane Street Dunedin 9011"
"47",317046,"9 Cochrane Street Dunedin","PO Box 44447 Mosgiel 9053"
"48",317047,"7A Neidpath Road Dunedin","PO Box 5072 Waikiwi Invercargill 9843"
"49",317048,"5 Neidpath Road Dunedin","Wereta Family Trust PO Box 7023 Mornington Dunedin 9040"
"50",317049,"3 Neidpath Road Dunedin","3 Neidpath Road Dunedin 9011"
"51",317050,"112 Eglinton Road Dunedin","112 Eglinton Road Dunedin 9011"
"52",317051,"110 Eglinton Road Dunedin","110 Eglinton Road Dunedin 9011"
"53",317052,"108 Eglinton Road Dunedin","108 Eglinton Road Dunedin 9011"
"54",317053,"107 Eglinton Road Dunedin","107 Eglinton Road Dunedin 9011"
"55",317054,"106 Eglinton Road Dunedin","106 Eglinton Road Dunedin 9011"
"56",317055,"105 Eglinton Road Dunedin","105 Eglinton Road Dunedin 9011"
"57",317057,"101 Eglinton Road Dunedin","101 Eglinton Road Dunedin 9011"
"58",317058,"99 Eglinton Road Dunedin","99 Eglinton Road Dunedin 9011"
"59",317059,"96 Eglinton Road Dunedin","96 Eglinton Road Dunedin 9011"
"60",317060,"92A Eglinton Road Dunedin",NA
"61",317061,"92B Eglinton Road Dunedin","150 Bramleys Road RD 1 Kaiapoi 7691"
"62",317062,"92C Eglinton Road Dunedin","85D Victoria Road Dunedin 9012"
"63",317063,"92D Eglinton Road Dunedin",NA
"64",317064,"92E Eglinton Road Dunedin",NA
"65",317065,"92F Eglinton Road Dunedin","100 Cannington Road Dunedin 9010"
"66",317066,"92G Eglinton Road Dunedin","118 Ruapehu Drive Fitzherbert Palmerston North 4410"
"67",317067,"90 Eglinton Road Dunedin","90 Eglinton Road Dunedin 9011"
"68",317068,"88 Eglinton Road Dunedin","G W and C G Bezett Family Trust 88 Eglinton Road Dunedin 9011"
"69",317069,"88A Eglinton Road Dunedin","88A Eglinton Road Dunedin 9011"
"70",317070,"86 Eglinton Road Dunedin","86 Eglinton Road Dunedin 9011"
"71",317071,"85 Eglinton Road Dunedin","85 Eglinton Road Dunedin 9011"
"72",317072,"82 Eglinton Road Dunedin","L and J Savory Trust 82 Eglinton Road Dunedin 9011"
"73",317074,"77 Eglinton Road Dunedin","77 Eglinton Road Dunedin 9011"
"74",317075,"82 Glen Road Dunedin","82 Glen Road Dunedin 9011"
"75",317076,"20 Reynolds Street Dunedin","20 Reynolds Street Dunedin 9011"
"76",317077,"80 Glen Road Dunedin","93B Forrester Drive Welcome Bay Tauranga 3112"
"77",317078,"78 Glen Road Dunedin","83 Rob Roy Lane Wanaka 9305"
"78",317079,"76 Glen Road Dunedin","19 Watt Street Mosgiel 9024"
"79",317080,"72 Glen Road Dunedin","72 Glen Road Dunedin 9011"
"80",317081,"11 Avoca Street Dunedin","11 Avoca Street Dunedin 9011"
"81",317084,"62 Glen Road Dunedin","10 Bombay Street Dunedin 9016"
"82",317085,"3 Avoca Street Dunedin","3 Avoca Street Dunedin 9011"
"83",317087,"59 Eglinton Road Dunedin",NA
"84",317088,"56 Eglinton Road Dunedin","C/O Ted Ottrey 6/51 Manor Place Dunedin 9016"
"85",317089,"54 Eglinton Road Dunedin","54 Eglinton Road Dunedin 9011"
"86",317090,"52 Eglinton Road Dunedin","52 Eglinton Road Dunedin 9011"
"87",317091,"50 Eglinton Road Dunedin","50 Eglinton Road Dunedin 9011"
"88",317092,"48 Eglinton Road Dunedin","48 Eglinton Road Dunedin 9011"
"89",317093,"47 Eglinton Road Dunedin","47 Eglinton Road Dunedin 9011"
"90",317094,"45 Eglinton Road Dunedin","43 Patrick Street Dunedin 9011"
"91",317095,"43 Eglinton Road Dunedin","43 Eglinton Road Dunedin 9011"
"92",317096,"41 Eglinton Road Dunedin","41 Eglinton Road Dunedin 9011"
"93",317097,"39 Eglinton Road Dunedin","39 Eglinton Road Dunedin 9011"
"94",317098,"36 Eglinton Road Dunedin","36 Eglinton Road Dunedin 9011"
"95",317099,"34 Eglinton Road Dunedin","34 Eglinton Road Dunedin 9011"
"96",317100,"32 Eglinton Road Dunedin","Mauri Ora Whanau Trust 32 Eglinton Road Dunedin 9011"
"97",317101,"30 Eglinton Road Dunedin","30 Eglinton Road Dunedin 9011"
"98",317102,"2 Walter Street Dunedin","15 Scaley Close Algester QLD 4115 AUSTRALIA"
"99",317103,"12 Walter Street Dunedin","12 Walter Street Dunedin 9011"
"100",317104,"14 Walter Street Dunedin","Noah Family Trust 3 Malta Street Dunedin 9010"
"101",317105,"22 Walter Street Dunedin","22 Walter Street Dunedin 9011"
"102",317106,"24 Walter Street Dunedin","9 Everest Street Warner QLD 4500 AUSTRALIA"
"103",317107,"26 Walter Street Dunedin","26 Walter Street Dunedin 9011"
"104",317108,"28 Walter Street Dunedin","22 Orokonui Road RD 2 Waitati 9085"
"105",317109,"32 Walter Street Dunedin","32 Walter Street Dunedin 9011"
"106",317110,"36 Walter Street Dunedin","32 Walter Street Dunedin 9011"
"107",317111,"38 Walter Street Dunedin","38 Walter Street Dunedin 9011"
"108",317112,"40 Walter Street Dunedin","40 Walter Street Dunedin 9011"
"109",317113,"44 Walter Street Dunedin","44 Frances Street Balclutha 9230"
"110",317114,"46 Walter Street Dunedin","PO Box 1442 Dunedin 9054"
