"NUM","ID","Physical_Address","Physical_Address_Formatted","Lat","Lon"
"1",308268,"40 Maybank Street Dunedin", "40 Maybank St, North East Valley, Dunedin 9010, New Zealand", -45.8532534, 170.5296597
"2",308269,"36 Maybank Street Dunedin", "36 Maybank St, North East Valley, Dunedin 9010, New Zealand", -45.8533563, 170.5294351
"3",308270,"30 Maybank Street Dunedin", "30 Maybank St, North East Valley, Dunedin 9010, New Zealand", -45.8535002, 170.5292071
"4",308271,"28 Maybank Street Dunedin", "28 Maybank St, North East Valley, Dunedin 9010, New Zealand", -45.8536179, 170.5289363
"5",308272,"26 Maybank Street Dunedin", "26 Maybank St, North East Valley, Dunedin 9010, New Zealand", -45.85370409999999, 170.5288424
"6",308274,"16 Maybank Street Dunedin", "16 Maybank St, North East Valley, Dunedin 9010, New Zealand", -45.85403489999999, 170.5284297
"7",308275,"14 Maybank Street Dunedin", "14 Maybank St, North East Valley, Dunedin 9010, New Zealand", -45.8541242, 170.5282333
"8",308276,"10 Maybank Street Dunedin", "10 Maybank St, North East Valley, Dunedin 9010, New Zealand", -45.8542865, 170.5280783
"9",308277,"80 Frame Street Dunedin", "80 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.8538472, 170.52789
"10",308278,"26 Taine Street Dunedin", "26 Taine St, North East Valley, Dunedin 9010, New Zealand", -45.8533417, 170.5270653
"11",308279,"61 Craigleith Street Dunedin", "61 Craigleith St, North East Valley, Dunedin 9010, New Zealand", -45.853462, 170.5268756
"12",308280,"63 Craigleith Street Dunedin", "63 Craigleith St, North East Valley, Dunedin 9010, New Zealand", -45.8535791, 170.5270585
"13",308281,"68 Frame Street Dunedin", "68 Frame St, North East Valley, Dunedin 9010, New Zealand", -45.853636, 170.5273025
"14",308282,"73 Craigleith Street Dunedin", "73 Craigleith St, North East Valley, Dunedin 9010, New Zealand", -45.8537651, 170.527432
"15",308283,"75 Craigleith Street Dunedin", "75 Craigleith St, North East Valley, Dunedin 9010, New Zealand", -45.8538961, 170.5274966
"16",308284,"77 Craigleith Street Dunedin", "77 Craigleith St, North East Valley, Dunedin 9010, New Zealand", -45.8540039, 170.5276396
"17",308285,"81 Craigleith Street Dunedin", "81 Craigleith St, North East Valley, Dunedin 9010, New Zealand", -45.8540608, 170.5278145
