Count,Gender,Totwkfood,Occupation,Organic,Size,Mktspend,Stalls,Time,Visitfreq
1,0,175 ,2,0,2,30,4,35,2
2,0,225 ,2,1,3,40,1,40,1
3,1,275 ,2,1,4,35,2,40,1
4,1,125 ,2,1,1,30,1,45,0
5,1,255 ,1,0,4,40,2,40,1
6,1,325 ,0,1,4,30,1,30,0
7,0,425 ,2,1,5,45,2,35,1
8,0,275 ,0,0,5,50,1,45,1
9,1,175 ,4,0,2,30,3,40,1
10,0,225 ,3,1,3,35,4,35,0
11,0,275 ,5,0,5,25,1,35,0
12,0,295 ,2,1,2,40,2,40,1
13,0,355 ,2,0,4,45,2,25,0
14,0,425 ,2,1,5,50,1,30,0
15,0,245 ,2,1,3,20,1,35,1
16,0,115 ,0,1,2,30,1,40,0
17,0,145 ,4,0,2,25,1,35,1
18,0,105 ,3,1,1,25,1,20,1
19,1,245 ,1,1,5,45,2,40,0
20,0,375 ,2,1,6,45,4,25,3
21,0,225 ,0,1,6,45,1,25,0
22,0,145 ,5,0,2,25,1,35,0
23,1,295 ,2,0,3,25,3,20,2
24,1,105 ,4,0,1,20,3,25,0
25,1,245 ,1,0,2,45,2,20,0
26,0,425 ,2,1,4,50,2,35,1
27,1,325 ,1,1,5,20,4,10,0
28,1,275 ,1,1,4,30,1,20,0
29,1,225 ,1,0,3,25,1,25,0
30,0,205 ,3,1,3,35,2,45,0
31,1,245 ,1,1,4,20,4,15,1
32,0,145 ,4,0,1,20,4,35,0
33,1,205 ,2,0,2,35,2,25,0
34,1,275 ,1,0,4,25,1,20,0
35,1,325 ,0,0,6,40,1,25,0
36,1,155 ,2,1,1,30,2,35,1
37,0,205 ,2,0,2,55,4,50,1
38,1,115 ,4,0,1,25,3,20,2
39,0,175 ,3,1,3,30,1,25,0
40,1,275 ,2,1,3,35,1,25,0
41,0,325 ,2,1,5,100,1,55,0
42,0,285 ,2,1,4,40,1,25,1
43,0,225 ,2,0,2,35,2,30,2
44,0,115 ,2,1,1,25,1,20,1
45,1,145 ,2,1,1,30,1,35,0
46,1,275 ,3,1,3,45,1,45,0
47,0,275 ,0,1,4,50,1,35,0
48,1,325 ,1,1,5,55,1,40,0
49,0,285 ,3,0,3,35,2,25,2
50,0,75 ,0,0,1,30,1,30,3
51,0,155 ,0,0,1,25,2,25,3
52,1,105 ,3,1,2,50,4,35,2
53,0,175 ,2,1,4,60,2,30,1
54,0,165 ,0,0,1,28,1,20,1
55,1,95 ,0,1,2,45,4,45,0
56,1,145 ,2,1,3,60,1,55,0
57,1,175 ,3,0,4,75,3,70,0
58,1,85 ,3,0,2,45,1,50,1
59,0,100 ,3,0,1,30,1,45,0
60,0,70 ,3,0,1,32,4,35,2
61,1,105 ,0,0,1,30,1,30,2
62,1,100 ,2,1,2,50,4,40,1
63,0,165 ,2,1,4,70,2,55,1
64,0,70 ,0,0,1,45,1,20,1
65,1,105 ,0,1,2,45,4,45,0
66,1,155 ,2,1,3,60,1,50,0
67,1,225 ,3,1,5,90,3,90,0
68,0,80 ,3,0,1,50,1,50,1
69,1,60 ,3,0,1,35,1,45,0
70,1,65 ,1,1,1,35,1,35,3
71,1,55 ,4,0,1,30,1,40,2
72,1,125 ,3,1,2,70,3,60,2
73,1,195 ,4,1,3,80,2,70,1
74,0,65 ,0,0,1,28,1,20,1
75,0,95 ,0,1,2,45,4,45,0
76,1,135 ,2,1,2,60,1,55,0
77,0,145 ,3,0,3,75,3,70,0
78,0,85 ,3,0,2,45,1,50,1
79,1,100 ,3,0,1,35,1,40,0
80,1,85 ,0,1,1,40,1,38,3
81,1,105 ,0,0,1,28,2,30,3
82,1,95 ,2,1,2,50,4,45,2
83,1,225 ,2,1,4,100,2,70,1
84,1,70 ,0,1,1,35,1,37,1
85,1,95 ,0,1,2,45,4,45,0
86,1,145 ,2,1,3,60,1,55,0
87,1,195 ,2,0,4,90,3,70,0
88,0,65 ,5,0,1,30,1,50,1
89,0,95 ,4,0,2,50,1,60,0
90,1,105 ,0,1,2,55,1,50,3
91,1,55 ,0,0,1,25,2,30,3
92,1,105 ,3,1,2,50,4,40,2
93,1,90 ,2,1,1,60,2,45,1
94,0,65 ,0,0,1,28,1,20,1
95,1,95 ,0,1,2,45,4,45,0
96,0,135 ,3,1,2,70,1,55,0
97,0,175 ,3,0,4,80,3,70,0
98,0,85 ,3,0,2,45,1,50,1
99,0,60 ,5,0,1,30,2,45,0
100,0,89 ,0,1,1,20,4,40,3
101,0,93 ,0,0,1,30,3,30,3
102,1,104 ,0,0,1,25,2,45,1
103,1,104 ,5,0,2,20,4,40,1
104,0,114 ,0,0,1,25,4,10,2
105,1,122 ,0,1,1,40,3,40,1
106,0,133 ,0,0,2,30,4,25,1
107,1,148 ,0,1,2,30,4,35,3
108,1,153 ,4,0,2,50,3,80,2
109,1,167 ,5,1,2,35,4,60,1
110,0,204 ,4,0,2,45,4,40,1
111,0,226 ,4,0,3,50,4,40,3
112,1,239 ,4,0,2,40,2,60,3
113,1,242 ,4,0,2,35,2,45,1
114,1,281 ,5,1,4,60,4,80,1
115,1,288 ,3,0,5,45,1,45,2
116,1,292 ,5,0,4,60,4,30,3
117,1,299 ,2,0,3,70,1,40,2
118,1,309 ,4,1,2,50,1,60,2
119,1,311 ,5,0,5,40,1,45,3
120,0,325 ,3,0,5,50,1,45,1
121,1,329 ,3,1,5,50,1,45,3
122,1,339 ,2,0,4,40,3,55,0
123,1,340 ,3,0,5,50,3,35,1
124,1,348 ,3,0,5,35,3,45,2
125,0,350 ,5,0,6,40,2,35,3
126,1,354 ,2,0,3,50,4,40,2
127,0,359 ,1,1,5,50,4,75,3
128,1,370 ,2,1,4,60,1,50,1
129,1,379 ,3,1,4,60,3,60,3
130,0,385 ,3,0,4,70,3,50,3
131,0,391 ,2,0,4,50,3,30,0
132,0,404 ,5,1,6,50,4,60,3
133,1,423 ,2,0,5,40,4,30,2
134,0,443 ,5,1,6,40,3,50,3
135,1,444 ,2,0,5,80,4,70,0
136,0,448 ,2,0,5,70,4,60,2
137,1,472 ,2,0,5,20,3,25,2
138,1,474 ,1,0,4,37,2,30,0
139,1,493 ,1,0,6,70,3,60,3
140,1,513 ,5,1,6,60,4,60,2
141,1,515 ,2,0,4,100,3,20,3
