Meshblock (2013 areas),Area unit code (2013 areas),Area unit description,Ward code (2013 areas),Ward description,Local board code (2013 areas),Local board area description,Territorial authority code (2013 areas),Territorial authority area description,Regional council code (2013 areas),Regional council area description
MB 0135201,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0135300,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0135400,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0135500,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0135600,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0135700,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0135800,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0135900,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136000,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136101,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136102,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136201,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136202,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136203,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136204,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136205,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136301,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136302,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136303,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136400,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136500,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136600,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136700,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136800,505400,Leigh,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0136900,505400,Leigh,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137000,505400,Leigh,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137100,505400,Leigh,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137200,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137300,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137400,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137501,506660,Cape Rodney,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137502,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137601,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
