Meshblock (2013 Areas),Year,2001 proportion single family households
MB 0135201,2001,0.727272727
MB 0135300,2001,0.714285714
MB 0135400,2001,0.818181818
MB 0135500,2001,#VALUE!
MB 0135600,2001,0.692307692
MB 0135700,2001,0.833333333
MB 0135800,2001,0.857142857
MB 0135900,2001,0.833333333
MB 0136000,2001,0.714285714
MB 0136101,2001,0.846153846
MB 0136102,2001,#VALUE!
MB 0136201,2001,#VALUE!
MB 0136202,2001,#VALUE!
MB 0136203,2001,0.666666667
MB 0136204,2001,1
MB 0136205,2001,0.8
MB 0136301,2001,0.8
MB 0136302,2001,1
MB 0136303,2001,0.75
MB 0136400,2001,1
MB 0136500,2001,0.75
MB 0136600,2001,1
MB 0136700,2001,0.75
MB 0136800,2001,0.5
MB 0136900,2001,0.666666667
MB 0137000,2001,0.625
MB 0137100,2001,0.666666667
MB 0137200,2001,#VALUE!
MB 0137300,2001,0.857142857
MB 0137400,2001,0.692307692
MB 0137501,2001,#VALUE!
MB 0137502,2001,0.823529412
MB 0137601,2001,0.739130435
MB 0137602,2001,#VALUE!
MB 0137701,2001,#VALUE!
MB 0137702,2001,0.8
MB 0137703,2001,0.6
MB 0137704,2001,0.6
MB 0137705,2001,0.75
MB 0137706,2001,#VALUE!
MB 0137707,2001,0.666666667
MB 0137708,2001,0.666666667
MB 0137800,2001,0.714285714
MB 0137901,2001,0.75
MB 0137902,2001,#VALUE!
MB 0137903,2001,#VALUE!
MB 0137904,2001,#VALUE!
MB 0137905,2001,#VALUE!
MB 0137906,2001,#VALUE!
MB 0137907,2001,1
MB 0137908,2001,#VALUE!
MB 0138002,2001,0.75
MB 0138003,2001,0.666666667
MB 0138004,2001,0.666666667
MB 0138101,2001,0.909090909
MB 0138103,2001,#VALUE!
MB 0138104,2001,1.5
MB 0138105,2001,1
MB 0138106,2001,#VALUE!
MB 0138107,2001,0.6
MB 0138201,2001,1
MB 0138202,2001,0.5
MB 0138203,2001,0.875
MB 0138300,2001,0.888888889
MB 0138400,2001,0.6
MB 0138500,2001,1
MB 0138601,2001,0.75
MB 0138603,2001,1
MB 0138604,2001,0.8
MB 0138605,2001,#VALUE!
MB 0138701,2001,0.709677419
MB 0138702,2001,0.666666667
MB 0138807,2001,#VALUE!
MB 0138809,2001,#VALUE!
MB 0138810,2001,#VALUE!
MB 0138811,2001,#VALUE!
MB 0138812,2001,#VALUE!
MB 0138813,2001,1
MB 0138814,2001,0.75
MB 0138815,2001,0.7
MB 0138816,2001,#VALUE!
MB 0138817,2001,0.714285714
MB 0138818,2001,0.75
MB 0138819,2001,0.888888889
MB 0138820,2001,#VALUE!
MB 0138821,2001,0.571428571
MB 0138900,2001,0.933333333
MB 0139000,2001,0.875
MB 0139102,2001,#VALUE!
MB 0139103,2001,#VALUE!
MB 0139104,2001,#VALUE!
MB 0139105,2001,0.818181818
MB 0139106,2001,1
MB 0139107,2001,#VALUE!
MB 0139200,2001,0.571428571
MB 0139301,2001,1
MB 0139302,2001,#VALUE!
MB 0139303,2001,#VALUE!
MB 0139304,2001,1
MB 0139305,2001,0.875
MB 0139400,2001,0.9
MB 0139501,2001,0.846153846
MB 0139504,2001,0.80952381
MB 0139505,2001,0.666666667
MB 0139506,2001,#VALUE!
MB 0139507,2001,#VALUE!
MB 0139600,2001,#VALUE!
MB 0139700,2001,0.8
MB 0139800,2001,0.75
MB 0139900,2001,0.5
MB 0140000,2001,0.576923077
MB 0140102,2001,0.714285714
MB 0140104,2001,0.777777778
MB 0140105,2001,1
MB 0140106,2001,0.5
MB 0140107,2001,0.75
MB 0140108,2001,0.666666667
MB 0140201,2001,#VALUE!
MB 0140202,2001,0.625
MB 0140203,2001,0.666666667
MB 0140204,2001,#VALUE!
MB 0140300,2001,0.384615385
MB 0140400,2001,#VALUE!
MB 0140500,2001,0.685714286
MB 0140600,2001,#VALUE!
MB 0140700,2001,0.6
MB 0140800,2001,0.5
MB 0140900,2001,0.7
MB 0141001,2001,0.612903226
MB 0141003,2001,0.5
MB 0141004,2001,0.5
MB 0141005,2001,0.777777778
MB 0141006,2001,0.875
MB 0141007,2001,0.666666667
MB 0141101,2001,0.6
MB 0141102,2001,0.592592593
MB 0141103,2001,1
MB 0141200,2001,0.769230769
MB 0141301,2001,0.714285714
MB 0141302,2001,0.666666667
MB 0141303,2001,0.857142857
MB 0141304,2001,#VALUE!
MB 0141305,2001,#VALUE!
MB 0141306,2001,#VALUE!
MB 0141307,2001,1.5
MB 0141400,2001,0.666666667
MB 0141503,2001,0.777777778
MB 0141505,2001,0.71875
MB 0141506,2001,0.678571429
MB 0141507,2001,0.766666667
MB 0141508,2001,0.714285714
MB 0141510,2001,0.857142857
MB 0141511,2001,0.722222222
MB 0141512,2001,0.764705882
MB 0141513,2001,1
MB 0141514,2001,0.571428571
MB 0141515,2001,#VALUE!
MB 0141516,2001,#VALUE!
MB 0141517,2001,1
MB 0141518,2001,#VALUE!
MB 0141603,2001,0.722222222
MB 0141605,2001,0.65
MB 0141606,2001,0.642857143
MB 0141607,2001,0.8
MB 0141608,2001,0.769230769
MB 0141705,2001,0.80952381
MB 0141707,2001,0.666666667
MB 0141708,2001,#VALUE!
MB 0141709,2001,0.75
MB 0141710,2001,0.75
MB 0141711,2001,0.666666667
MB 0141712,2001,1
MB 0141713,2001,0.777777778
MB 0141714,2001,0.833333333
MB 0141715,2001,0.666666667
MB 0141716,2001,0.666666667
MB 0141717,2001,0.833333333
MB 0141718,2001,#VALUE!
MB 0141806,2001,0.666666667
MB 0141807,2001,0.6
MB 0141808,2001,0.6
MB 0141809,2001,0.8
MB 0141810,2001,#VALUE!
MB 0141811,2001,0.666666667
MB 0141812,2001,0.571428571
MB 0141813,2001,0.666666667
MB 0141814,2001,0.666666667
MB 0141815,2001,0.6
MB 0141816,2001,0.5
MB 0141901,2001,#VALUE!
MB 0141902,2001,0.666666667
MB 0142000,2001,#VALUE!
MB 0142100,2001,0.5
MB 0142200,2001,0.666666667
MB 0142300,2001,0.846153846
MB 0142400,2001,0.6
MB 0142500,2001,0.692307692
MB 0142600,2001,0.727272727
MB 0142700,2001,0.785714286
MB 0142800,2001,0.785714286
MB 0142900,2001,#VALUE!
MB 0143000,2001,0.75
MB 0143100,2001,0.666666667
MB 0143200,2001,0.785714286
MB 0143300,2001,0.5
MB 0143400,2001,0.666666667
MB 0143500,2001,0.666666667
MB 0143600,2001,0.727272727
MB 0143700,2001,0.666666667
MB 0143800,2001,0.875
MB 0143900,2001,0.8
MB 0144000,2001,0.8
MB 0144100,2001,0.888888889
MB 0144200,2001,1
MB 0144300,2001,0.866666667
MB 0144400,2001,0.769230769
MB 0144500,2001,0.75
MB 0144600,2001,0.818181818
MB 0144700,2001,0.764705882
MB 0144800,2001,0.714285714
MB 0144900,2001,0.8
MB 0145000,2001,0.846153846
MB 0145100,2001,0.714285714
MB 0145200,2001,0.727272727
MB 0145300,2001,0.833333333
MB 0145400,2001,0.785714286
MB 0145500,2001,0.846153846
MB 0145600,2001,0.857142857
MB 0145700,2001,0.75
MB 0145800,2001,0.857142857
MB 0145900,2001,0.833333333
MB 0146002,2001,0.833333333
MB 0146003,2001,0.75
MB 0146004,2001,1
MB 0146005,2001,1
MB 0146101,2001,0.75
MB 0146102,2001,1.5
MB 0146103,2001,1
MB 0146104,2001,0.833333333
MB 0146105,2001,#VALUE!
MB 0146200,2001,0.666666667
MB 0146300,2001,0.722222222
MB 0146400,2001,0.666666667
MB 0146500,2001,0.714285714
MB 0146600,2001,0.7
MB 0146701,2001,0.857142857
MB 0146702,2001,1
MB 0146703,2001,0.8
MB 0146704,2001,#VALUE!
MB 0146705,2001,0.75
MB 0146800,2001,0.733333333
MB 0146901,2001,0.65
MB 0146902,2001,0.75
MB 0147000,2001,0.714285714
MB 0147101,2001,#VALUE!
MB 0147104,2001,#VALUE!
MB 0147106,2001,0.818181818
MB 0147107,2001,0.7
MB 0147108,2001,0.769230769
MB 0147109,2001,0.666666667
MB 0147110,2001,#VALUE!
MB 0147206,2001,#VALUE!
MB 0147208,2001,#VALUE!
MB 0147209,2001,#VALUE!
MB 0147211,2001,#VALUE!
MB 0147212,2001,#VALUE!
MB 0147213,2001,#VALUE!
MB 0147214,2001,#VALUE!
MB 0147215,2001,#VALUE!
MB 0147216,2001,#VALUE!
MB 0147314,2001,#VALUE!
MB 0147315,2001,#VALUE!
MB 0147316,2001,#VALUE!
MB 0147317,2001,#VALUE!
MB 0147320,2001,#VALUE!
MB 0147322,2001,#VALUE!
MB 0147323,2001,#VALUE!
MB 0147324,2001,#VALUE!
MB 0147400,2001,0.769230769
MB 0147500,2001,0.947368421
MB 0147600,2001,0.8125
MB 0147700,2001,0.818181818
MB 0147800,2001,0.8
MB 0147900,2001,0.8
MB 0148000,2001,0.75
MB 0148100,2001,1.333333333
MB 0148201,2001,0.727272727
MB 0148202,2001,#VALUE!
MB 0148301,2001,0.75
MB 0148302,2001,1
MB 0148400,2001,0.909090909
MB 0148500,2001,0.722222222
MB 0148601,2001,0.75
MB 0148602,2001,0.888888889
MB 0148603,2001,#VALUE!
MB 0148701,2001,#VALUE!
MB 0148703,2001,0.6
MB 0148704,2001,1
MB 0148705,2001,0.666666667
MB 0148706,2001,0.666666667
MB 0148707,2001,0.5
MB 0148801,2001,#VALUE!
MB 0148802,2001,0.8
MB 0148900,2001,0.7
MB 0149000,2001,0.785714286
MB 0149100,2001,0.846153846
MB 0149200,2001,0.75
MB 0149300,2001,0.769230769
MB 0149400,2001,0.8125
MB 0149500,2001,0.733333333
MB 0149600,2001,0.75
MB 0149700,2001,0.818181818
MB 0149800,2001,0.666666667
MB 0149900,2001,0.608695652
MB 0150000,2001,0.8
MB 0150103,2001,0.6
MB 0150104,2001,#VALUE!
MB 0150105,2001,1
MB 0150106,2001,0.8
MB 0150107,2001,0.666666667
MB 0150200,2001,0.818181818
MB 0150300,2001,0.777777778
MB 0150400,2001,0.722222222
MB 0150500,2001,1
MB 0150600,2001,0.833333333
MB 0150700,2001,0.888888889
MB 0150801,2001,1
MB 0150802,2001,0.833333333
MB 0150900,2001,0.733333333
MB 0151000,2001,0.785714286
MB 0151101,2001,0.375
MB 0151103,2001,0.75
MB 0151104,2001,#VALUE!
MB 0151201,2001,0.75
MB 0151202,2001,1
MB 0151300,2001,0.714285714
MB 0151400,2001,0.894736842
MB 0151500,2001,0.823529412
MB 0151601,2001,1
MB 0151602,2001,0.5
MB 0151603,2001,0.833333333
MB 0151700,2001,0.714285714
MB 0151800,2001,0.857142857
MB 0151900,2001,0.666666667
MB 0152000,2001,0.272727273
MB 0152100,2001,0.8
MB 0152200,2001,0.733333333
MB 0152300,2001,0.75
MB 0152400,2001,0.833333333
MB 0152500,2001,0.789473684
MB 0152600,2001,0.761904762
MB 0152700,2001,0.714285714
MB 0152800,2001,0.846153846
MB 0152900,2001,0.827586207
MB 0153000,2001,0.84375
MB 0153100,2001,0.75
MB 0153200,2001,0.888888889
MB 0153300,2001,0.9
MB 0153400,2001,0.777777778
MB 0153500,2001,0.789473684
MB 0153600,2001,0.736842105
MB 0153700,2001,0.666666667
MB 0153800,2001,0.857142857
MB 0153902,2001,0.714285714
MB 0153903,2001,1
MB 0153904,2001,#VALUE!
MB 0154001,2001,0.833333333
MB 0154002,2001,0.8
MB 0154100,2001,0.823529412
MB 0154201,2001,0.833333333
MB 0154202,2001,0.833333333
MB 0154300,2001,0.818181818
MB 0154400,2001,0.8
MB 0154500,2001,0.777777778
MB 0154600,2001,0.8
MB 0154700,2001,0.818181818
MB 0154800,2001,0.6
MB 0154900,2001,0.818181818
MB 0155000,2001,0.8125
MB 0155100,2001,0.8
MB 0155200,2001,0.928571429
MB 0155300,2001,0.769230769
MB 0155400,2001,0.75
MB 0155500,2001,0.846153846
MB 0155601,2001,0.75
MB 0155602,2001,0.666666667
MB 0155604,2001,0.782608696
MB 0155605,2001,1
MB 0155701,2001,0.6875
MB 0155704,2001,0.8
MB 0155705,2001,#VALUE!
MB 0155706,2001,0.875
