Meshblock,Year,Proprtion partnered,Proportion 1 or more children,Proportion with at least a bachelors degree,Median personal income 2001
MB 0135201,2001,0.761904762,NA,NA,20400
MB 0135300,2001,0.625,NA,NA,23800
MB 0135400,2001,0.653846154,NA,NA,18800
MB 0135500,2001,0.8,NA,NA,22500
MB 0135600,2001,0.708333333,NA,NA,18100
MB 0135700,2001,0.714285714,NA,NA,14000
MB 0135800,2001,0.724137931,NA,NA,20200
MB 0135900,2001,0.826086957,NA,NA,27500
MB 0136000,2001,0.615384615,NA,NA,21300
MB 0136101,2001,0.740740741,NA,NA,20800
MB 0136102,2001,#VALUE!,NA,NA,..C
MB 0136201,2001,0.666666667,NA,NA,18300
MB 0136202,2001,0.333333333,NA,NA,35000
MB 0136203,2001,0.75,NA,NA,21300
MB 0136204,2001,0.833333333,NA,NA,28300
MB 0136205,2001,0.777777778,NA,NA,25800
MB 0136301,2001,0.684210526,NA,NA,22500
MB 0136302,2001,0.846153846,NA,NA,15400
MB 0136303,2001,0.625,NA,NA,22500
MB 0136400,2001,0.6875,NA,NA,15400
MB 0136500,2001,0.625,NA,NA,18800
MB 0136600,2001,0.684210526,NA,NA,19200
MB 0136700,2001,0.9,NA,NA,27500
MB 0136800,2001,0.714285714,NA,NA,13800
MB 0136900,2001,0.652173913,NA,NA,16900
MB 0137000,2001,0.642857143,NA,NA,18100
MB 0137100,2001,0.727272727,NA,NA,16300
MB 0137200,2001,#VALUE!,NA,NA,..C
MB 0137300,2001,0.727272727,NA,NA,18800
MB 0137400,2001,0.72,NA,NA,12500
MB 0137501,2001,#VALUE!,NA,NA,47500
MB 0137502,2001,0.742857143,NA,NA,19200
MB 0137601,2001,0.717391304,NA,NA,14500
MB 0137602,2001,#VALUE!,NA,NA,..C
MB 0137701,2001,#VALUE!,NA,NA,..C
MB 0137702,2001,0.777777778,NA,NA,15400
MB 0137703,2001,0.555555556,NA,NA,13300
MB 0137704,2001,0.833333333,NA,NA,23300
MB 0137705,2001,0.666666667,NA,NA,14200
MB 0137706,2001,#VALUE!,NA,NA,45000
MB 0137707,2001,0.8,NA,NA,15800
MB 0137708,2001,0.708333333,NA,NA,16900
MB 0137800,2001,0.647058824,NA,NA,12500
MB 0137901,2001,1,NA,NA,31700
MB 0137902,2001,#VALUE!,NA,NA,..C
MB 0137903,2001,#VALUE!,NA,NA,..C
MB 0137904,2001,0.75,NA,NA,21700
MB 0137905,2001,0.6,NA,NA,12500
MB 0137906,2001,0.6,NA,NA,27500
MB 0137907,2001,1,NA,NA,18300
MB 0137908,2001,1,NA,NA,25800
MB 0138002,2001,0.772727273,NA,NA,21300
MB 0138003,2001,0.8,NA,NA,7500
MB 0138004,2001,0.636363636,NA,NA,22500
MB 0138101,2001,0.727272727,NA,NA,18300
